ID,Side,amount_BTC,amount_AED,date_created,Status
3693707,buy,0.00090383,-55.55,2023-01-06T12:21:34+00:00,DONE
3693655,buy,0.00090044,-55.55,2023-01-06T10:21:32+00:00,DONE
3693600,buy,0.00089959,-55.55,2023-01-06T08:21:29+00:00,DONE
3693529,buy,0.00089953,-55.55,2023-01-06T06:21:27+00:00,DONE
3693480,buy,0.000899,-55.55,2023-01-06T04:21:25+00:00,DONE
3693435,buy,0.00089814,-55.55,2023-01-06T02:21:23+00:00,DONE
3693408,buy,0.00089809,-55.55,2023-01-06T00:21:20+00:00,DONE
3693379,buy,0.00089697,-55.55,2023-01-05T22:21:18+00:00,DONE
3693318,buy,0.00089633,-55.55,2023-01-05T20:21:16+00:00,DONE
3693240,buy,0.00089825,-55.55,2023-01-05T18:21:13+00:00,DONE
3693161,buy,0.00089708,-55.55,2023-01-05T16:21:11+00:00,DONE
3693076,buy,0.00089932,-55.54,2023-01-05T14:21:09+00:00,DONE
3692997,buy,0.00089852,-55.55,2023-01-05T12:21:07+00:00,DONE
3692933,buy,0.00089857,-55.55,2023-01-05T10:21:05+00:00,DONE
3692862,buy,0.00089852,-55.55,2023-01-05T08:21:02+00:00,DONE
3692770,buy,0.00089772,-55.55,2023-01-05T06:21:00+00:00,DONE
3692673,buy,0.00089814,-55.55,2023-01-05T04:20:57+00:00,DONE
3692621,buy,0.00089814,-55.55,2023-01-05T02:20:55+00:00,DONE
3692592,buy,0.00089612,-55.55,2023-01-05T00:20:53+00:00,DONE
3692561,buy,0.00089852,-55.55,2023-01-04T22:20:50+00:00,DONE
3692498,buy,0.00089756,-55.55,2023-01-04T20:20:48+00:00,DONE
3692339,buy,0.00089363,-55.55,2023-01-04T18:20:44+00:00,DONE
3692211,buy,0.00089591,-55.55,2023-01-04T16:20:41+00:00,DONE
3692095,buy,0.00089932,-55.55,2023-01-04T14:20:38+00:00,DONE
3691988,buy,0.00089788,-55.55,2023-01-04T12:20:36+00:00,DONE
3691871,buy,0.0008975,-55.55,2023-01-04T10:20:33+00:00,DONE
3691755,buy,0.00089469,-55.55,2023-01-04T08:20:31+00:00,DONE
3691635,buy,0.00089644,-55.55,2023-01-04T06:20:29+00:00,DONE
3691513,buy,0.00089607,-55.55,2023-01-04T04:20:25+00:00,DONE
3691426,buy,0.00090372,-55.55,2023-01-04T02:20:22+00:00,DONE
3691353,buy,0.00090665,-55.56,2023-01-04T00:20:20+00:00,DONE
3691308,buy,0.00090768,-55.56,2023-01-03T22:20:18+00:00,DONE
3691231,buy,0.00090719,-55.55,2023-01-03T20:20:16+00:00,DONE
3691115,buy,0.00090866,-55.55,2023-01-03T18:20:13+00:00,DONE
